Time,Average(A)
(us),(V)
2.05970043,1.38456
2.06370043,1.376136
2.06770043,1.367676
2.07170043,1.359173
2.07570043,1.350627
2.07970043,1.342042
2.08370043,1.333421
2.08770043,1.324762
2.09170042,1.316067
2.09570042,1.307337
2.09970042,1.298573
2.10370042,1.289778
2.10770042,1.280945
2.11170042,1.272081
2.11570042,1.263184
2.11970042,1.254251
2.12370042,1.245281
2.12770042,1.236285
2.13170042,1.227255
2.13570042,1.218196
2.13970042,1.209103
2.14370042,1.199984
2.14770042,1.19084
2.15170042,1.181667
2.15570042,1.172473
2.15970042,1.16325
2.16370042,1.154009
2.16770042,1.14474
2.17170042,1.135452
2.17570042,1.126143
2.17970042,1.116813
2.18370042,1.107463
2.18770042,1.098096
2.19170042,1.088711
2.19570042,1.079313
2.19970042,1.069898
2.20370042,1.060471
2.20770042,1.051027
2.21170042,1.041573
2.21570042,1.03211
2.21970042,1.022642
2.22370042,1.013168
2.22770042,1.00369
2.23170042,0.994213
2.23570042,0.9847367
2.23970042,0.9752675
2.24370042,0.9658001
2.24770042,0.9563346
2.25170042,0.9468721
2.25570042,0.9374156
2.25970042,0.9279667
2.26370042,0.9185267
2.26770042,0.9090934
2.27170042,0.8996707
2.27570042,0.8902566
2.27970042,0.8808594
2.28370042,0.8714713
2.28770042,0.8620981
2.29170042,0.8527482
2.29570042,0.8434151
2.29970042,0.8341047
2.30370042,0.8248157
2.30770042,0.8155501
2.31170042,0.8063098
2.31570042,0.7971017
2.31970042,0.7879217
2.32370042,0.7787709
2.32770042,0.7696533
2.33170042,0.7605591
2.33570042,0.7515022
2.33970042,0.7424718
2.34370042,0.7334778
2.34770042,0.7245202
2.35170042,0.7155949
2.35570042,0.7067003
2.35970042,0.6978389
2.36370042,0.6890099
2.36770042,0.6802185
2.37170042,0.6714609
2.37570042,0.6627434
2.37970042,0.6540639
2.38370042,0.645427
2.38770042,0.6368272
2.39170042,0.6282703
2.39570042,0.6197516
2.39970042,0.6112773
